Record ID,Sumber Feedback,Kanal Feedback,Tanggal Feedback,Tipe Stakeholder,Layanan,Rentang Waktu,Rating,Komentar,Tema Feedback,Customer Journey Hint,PIC Layanan,Lokasi,Tipe Instruktur
DEMO-20260330-0040,Executive Follow-up,Meeting Notes,2026-03-29,BUMN / Corporate,Konsultasi IT Masterplan,1 Minggu Terakhir (Weekly),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Corporate Delivery Lead,Jakarta,Internal
DEMO-20260330-0038,Stakeholder Debrief,CRM,2026-03-29,BUMN / Corporate,Workshop AI Adoption Readiness,1 Minggu Terakhir (Weekly),1,"Komunikasi Workshop AI Adoption Readiness kurang rapi; informasi perubahan jadwal, brief teknis, dan update status tidak selalu tersampaikan ke semua PIC BUMN / corporate.",communication,Pra-Layanan dan Ekspektasi,Corporate Delivery Lead,Jakarta,OL
DEMO-20260330-0001,Account Review,WhatsApp,2026-03-29,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Minggu Terakhir (Weekly),4,"Tim account untuk Pelatihan IT Security cepat merespons pertanyaan dan follow up sangat jelas, sehingga koordinasi dengan instansi pemerintah berjalan lancar sejak awal.",responsiveness,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Yogyakarta,OL
DEMO-20260330-0008,Executive Follow-up,Meeting Notes,2026-03-29,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Minggu Terakhir (Weekly),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Public Sector Account Lead,Yogyakarta,Internal
DEMO-20260330-0068,Post-Class Survey,Google Form,2026-03-29,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Minggu Terakhir (Weekly),3,"Instruktur Sertifikasi Cisco (CCNA) cukup menguasai materi, tetapi penyampaian contoh kasus belum selalu relevan dengan kebutuhan personal.",instructor,Pelaksanaan Layanan,Retail Program Coordinator,Online Live,Internal
DEMO-20260330-0072,Executive Follow-up,Meeting Notes,2026-03-29,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Minggu Terakhir (Weekly),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0098,Project Coordination Log,Google Form,2026-03-29,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,1 Minggu Terakhir (Weekly),4,"Jadwal Pelatihan Dasar Cybersecurity tertata rapi, durasi sesi pas, dan jeda antarsesi cukup untuk menjaga fokus peserta sekolah / universitas.",schedule,Persiapan dan Kesiapan Delivery,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0104,Executive Follow-up,Meeting Notes,2026-03-29,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Minggu Terakhir (Weekly),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Education Partnership Manager,Semarang,Internal
DEMO-20260330-0135,Outcome Review,Interview,2026-03-29,Vendor / Partner,Kerja Sama Event,1 Minggu Terakhir (Weekly),3,"Hasil Kerja Sama Event cukup membantu, tetapi tindak lanjut pasca-sesi masih perlu pendampingan agar manfaatnya lebih terasa untuk vendor / partner.",outcome,Tindak Lanjut dan Outcome,Alliance Manager,Jakarta,Internal
DEMO-20260330-0136,Executive Follow-up,Meeting Notes,2026-03-29,Vendor / Partner,Kerja Sama Event,1 Minggu Terakhir (Weekly),4,"Secara umum pengalaman layanan sudah cukup baik, tetapi organisasi masih meminta komunikasi, jadwal, dan tindak lanjut hasil dibuat lebih konsisten agar manfaatnya terasa merata.",cross_theme,Lintas Tahap,Alliance Manager,Jakarta,Internal
DEMO-20260330-0036,Post-Class Survey,LMS,2026-03-28,BUMN / Corporate,Konsultasi IT Masterplan,1 Minggu Terakhir (Weekly),4,"Instruktur Konsultasi IT Masterplan sangat kompeten, penjelasannya jelas, dan contoh kasusnya dekat dengan kebutuhan BUMN / corporate.",instructor,Pelaksanaan Layanan,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0006,Stakeholder Debrief,Email,2026-03-28,Instansi Pemerintah (Gov),Workshop Tata Kelola Data,1 Minggu Terakhir (Weekly),3,"Komunikasi untuk Workshop Tata Kelola Data cukup jelas, namun update perubahan kecil belum selalu dibagikan ke seluruh PIC instansi pemerintah.",communication,Pra-Layanan dan Ekspektasi,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0066,Project Coordination Log,Email,2026-03-28,Mahasiswa / Personal,Pelatihan Web Dev,1 Minggu Terakhir (Weekly),3,"Jadwal Pelatihan Web Dev cukup sesuai, tetapi durasi sesi siang terasa padat dan jeda masih bisa diperbaiki untuk peserta personal.",schedule,Persiapan dan Kesiapan Delivery,Retail Program Coordinator,Online Live,OL
DEMO-20260330-0103,Outcome Review,CRM,2026-03-28,Sekolah / Universitas,Program Magang / Kunjungan Industri,1 Minggu Terakhir (Weekly),2,"Setelah Program Magang / Kunjungan Industri selesai, manfaat yang dirasakan belum kuat, tindak lanjut kurang jelas, dan output akhirnya belum mudah dipakai oleh tim sekolah / universitas.",outcome,Tindak Lanjut dan Outcome,Education Partnership Manager,Yogyakarta,OL
DEMO-20260330-0133,Learning Evaluation,LMS,2026-03-28,Vendor / Partner,Enablement Partner Teknologi,1 Minggu Terakhir (Weekly),1,"Materi Enablement Partner Teknologi terasa terlalu basic, beberapa modul out of date, dan contoh implementasinya belum sesuai konteks vendor / partner.",material,Pelaksanaan Layanan,Alliance Manager,Jakarta,Internal
DEMO-20260330-0034,Project Coordination Log,Google Form,2026-03-27,BUMN / Corporate,Pelatihan Cloud Native (AWS),1 Minggu Terakhir (Weekly),1,"Jadwal Pelatihan Cloud Native (AWS) terlalu padat, perubahan waktu mendadak, dan jeda antarsesi kurang memadai bagi peserta BUMN / corporate.",schedule,Persiapan dan Kesiapan Delivery,Corporate Delivery Lead,Surabaya,Internal
DEMO-20260330-0004,Post-Class Survey,Google Form,2026-03-27,Instansi Pemerintah (Gov),Pelatihan IT Security,1 Minggu Terakhir (Weekly),3,"Instruktur Pelatihan IT Security cukup menguasai materi, tetapi penyampaian contoh kasus belum selalu relevan dengan kebutuhan instansi pemerintah.",instructor,Pelaksanaan Layanan,Public Sector Account Lead,Jakarta,OL
DEMO-20260330-0071,Outcome Review,Interview,2026-03-27,Mahasiswa / Personal,Sertifikasi Cisco (CCNA),1 Minggu Terakhir (Weekly),1,"Setelah Sertifikasi Cisco (CCNA) selesai, manfaat yang dirasakan belum kuat, tindak lanjut kurang jelas, dan output akhirnya belum mudah dipakai oleh tim personal.",outcome,Tindak Lanjut dan Outcome,Retail Program Coordinator,Yogyakarta,Internal
DEMO-20260330-0101,Learning Evaluation,Google Form,2026-03-27,Sekolah / Universitas,Pelatihan Dasar Cybersecurity,1 Minggu Terakhir (Weekly),5,"Materi Pelatihan Dasar Cybersecurity relevan, modulnya terstruktur, dan contoh implementasinya mudah diterapkan setelah sesi selesai oleh sekolah / universitas.",material,Pelaksanaan Layanan,Education Partnership Manager,Yogyakarta,Internal
DEMO-20260330-0131,Operational Readiness Check,On-site Form,2026-03-27,Vendor / Partner,Technical Sales Workshop,1 Minggu Terakhir (Weekly),1,"Fasilitas ruang untuk Technical Sales Workshop kurang siap; wifi sering putus, AC tidak stabil, dan setup lab terlambat saat sesi dimulai untuk vendor / partner.",facility,Persiapan dan Kesiapan Delivery,Alliance Manager,Jakarta,OL
DEMO-20260330-0039,Outcome Review,CRM,2026-03-26,BUMN / Corporate,Konsultasi IT Masterplan,1 Minggu Terakhir (Weekly),5,"Hasil Konsultasi IT Masterplan terasa actionable, membantu tim BUMN / corporate menindaklanjuti pekerjaan, dan output akhirnya bisa langsung dipakai.",outcome,Tindak Lanjut dan Outcome,Corporate Delivery Lead,Bandung,Internal
DEMO-20260330-0002,Project Coordination Log,Email,2026-03-26,Instansi Pemerintah (Gov),Audit SPBE,1 Minggu Terakhir (Weekly),2,"Jadwal Audit SPBE terlalu padat, perubahan waktu mendadak, dan jeda antarsesi kurang memadai bagi peserta instansi pemerintah.",schedule,Persiapan dan Kesiapan Delivery,Public Sector Account Lead,Jakarta,Internal
DEMO-20260330-0069,Learning Evaluation,LMS,2026-03-26,Mahasiswa / Personal,Pelatihan Web Dev,1 Minggu Terakhir (Weekly),1,"Materi Pelatihan Web Dev terasa terlalu basic, beberapa modul out of date, dan contoh implementasinya belum sesuai konteks personal.",material,Pelaksanaan Layanan,Retail Program Coordinator,Yogyakarta,OL
